,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,860.0,1.0,3548.0,43.0,0.13,47.0,0.5539999999999999,1,58.0,4,2795.0,57.0,0.23,63.0,0.068,1,62.0,1,3668.0,42.0,0.19,57.0,0.303,1,21.0,2,3682.0,40.0,0.18,68.0,0.28,1,40.0,2,4652.0,28.0,0.2,38.0,0.053,1,73.0,1,3934.0,36.0,0.17,48.0,0.275,1,76.0,2,5.0
,470.0,2.0,3282.0,46.0,0.17,33.0,0.4,1,27.0,3,4202.0,31.0,0.22,16.0,0.281,1,49.0,2,4259.0,29.0,0.15,29.0,0.496,1,24.0,3,2568.0,64.0,0.19,26.0,0.26899999999999996,1,25.0,2,3976.0,36.0,0.19,45.0,0.233,1,32.0,2,3459.0,46.0,0.18,70.0,0.22,1,20.0,2,1.0
,5220.0,3.0,2698.0,59.0,0.21,19.0,0.215,1,57.0,2,4217.0,32.0,0.22,66.0,0.163,1,17.0,2,4257.0,30.0,0.14,64.0,0.36700000000000005,1,34.0,3,4547.0,25.0,0.15,41.0,0.5329999999999999,1,48.0,4,4496.0,26.0,0.19,75.0,0.29600000000000004,1,51.0,2,3946.0,37.0,0.17,12.0,0.506,1,64.0,4,107.0
,1750.0,4.0,3911.0,40.0,0.17,27.0,0.252,1,26.0,2,4109.0,33.0,0.16,28.0,0.46299999999999997,1,16.0,3,3305.0,46.0,0.19,59.0,0.368,1,60.0,3,3346.0,47.0,0.16,43.0,0.318,1,54.0,3,4553.0,24.0,0.18,65.0,0.33299999999999996,1,30.0,3,3257.0,46.0,0.14,50.0,0.563,1,44.0,4,1.0
,2670.0,5.0,3532.0,42.0,0.17,20.0,0.475,1,33.0,4,3668.0,42.0,0.19,57.0,0.303,1,21.0,2,3662.0,44.0,0.17,73.0,0.48200000000000004,1,19.0,3,3969.0,37.0,0.23,69.0,0.191,1,45.0,2,4403.0,28.0,0.17,72.0,0.419,1,59.0,3,4624.0,28.0,0.16,36.0,0.344,1,43.0,2,41.0
,820.0,7.0,3869.0,38.0,0.18,53.0,0.23800000000000002,1,72.0,2,3671.0,41.0,0.2,39.0,0.215,1,14.0,2,2795.0,57.0,0.23,63.0,0.068,1,62.0,1,4257.0,30.0,0.14,64.0,0.36700000000000005,1,34.0,3,2568.0,64.0,0.19,26.0,0.26899999999999996,1,25.0,2,4616.0,32.0,0.18,74.0,0.073,1,23.0,1,63.0
,1900.0,8.0,3729.0,42.0,0.22,71.0,0.195,1,75.0,2,3849.0,36.0,0.13,13.0,0.503,1,56.0,4,4403.0,28.0,0.17,72.0,0.419,1,59.0,3,4217.0,32.0,0.22,66.0,0.163,1,17.0,2,3379.0,45.0,0.18,30.0,0.445,1,22.0,3,4652.0,28.0,0.2,38.0,0.053,1,73.0,1,1.0
,1310.0,9.0,3682.0,40.0,0.18,68.0,0.28,1,40.0,2,4259.0,29.0,0.15,29.0,0.496,1,24.0,3,3765.0,41.0,0.23,76.0,0.135,1,70.0,2,4624.0,28.0,0.16,36.0,0.344,1,43.0,2,3946.0,37.0,0.17,12.0,0.506,1,64.0,4,3305.0,46.0,0.19,59.0,0.368,1,60.0,3,97.0
,4150.0,10.0,4356.0,29.0,0.16,56.0,0.387,1,47.0,3,4547.0,25.0,0.15,41.0,0.5329999999999999,1,48.0,4,3548.0,43.0,0.13,47.0,0.5539999999999999,1,58.0,4,3671.0,41.0,0.2,39.0,0.215,1,14.0,2,3257.0,46.0,0.14,50.0,0.563,1,44.0,4,4154.0,33.0,0.18,18.0,0.335,1,41.0,2,17.0
,9700.0,11.0,4109.0,33.0,0.16,28.0,0.46299999999999997,1,16.0,3,3532.0,42.0,0.17,20.0,0.475,1,33.0,4,4236.0,30.0,0.15,49.0,0.495,1,71.0,4,4496.0,26.0,0.19,75.0,0.29600000000000004,1,51.0,2,3619.0,40.0,0.21,11.0,0.366,1,29.0,3,3379.0,45.0,0.18,30.0,0.445,1,22.0,3,47.0
